(3, 2e-05, 32, 0.2, 0.005): {'perdidaEvaluacion': 0.5179980397224426, 'f1Macro': 0.19393939393939394, 'f1Micro': 0.26666666666666666, 'promedioPrecision': 0.6666666666666666, 'promedioRecall': 0.11666666666666665, 'metricasClases': {'Violencia': {'f1': 0.18181818181818182, 'precision': 1.0, 'recall': 0.1}, 'Homofobia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}, 'Xenofobia': {'f1': 0.4, 'precision': 1.0, 'recall': 0.25}}, 'perdidaEntrenamiento': 0.49377409571951086}
(3, 2e-05, 32, 0.2, 0.01): {'perdidaEvaluacion': 0.4858868420124054, 'f1Macro': 0.19393939393939394, 'f1Micro': 0.26666666666666666, 'promedioPrecision': 0.6666666666666666, 'promedioRecall': 0.11666666666666665, 'metricasClases': {'Violencia': {'f1': 0.18181818181818182, 'precision': 1.0, 'recall': 0.1}, 'Homofobia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}, 'Xenofobia': {'f1': 0.4, 'precision': 1.0, 'recall': 0.25}}, 'perdidaEntrenamiento': 0.4802647680044174}
(3, 2e-05, 8, 0.1, 0.005): {'perdidaEvaluacion': 0.3225264971454938, 'f1Macro': 0.7263616557734206, 'f1Micro': 0.7466666666666667, 'promedioPrecision': 0.7666666666666666, 'promedioRecall': 0.6925925925925925, 'metricasClases': {'Violencia': {'f1': 0.5555555555555556, 'precision': 0.625, 'recall': 0.5}, 'Homofobia': {'f1': 0.8235294117647058, 'precision': 0.875, 'recall': 0.7777777777777778}, 'Xenofobia': {'f1': 0.8, 'precision': 0.8, 'recall': 0.8}}, 'perdidaEntrenamiento': 0.2464188173074614}
(3, 2e-05, 32, 0.2, 0.015): {'perdidaEvaluacion': 0.5005231350660324, 'f1Macro': 0.19393939393939394, 'f1Micro': 0.26666666666666666, 'promedioPrecision': 0.6666666666666666, 'promedioRecall': 0.11666666666666665, 'metricasClases': {'Violencia': {'f1': 0.18181818181818182, 'precision': 1.0, 'recall': 0.1}, 'Homofobia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}, 'Xenofobia': {'f1': 0.4, 'precision': 1.0, 'recall': 0.25}}, 'perdidaEntrenamiento': 0.4777091998945583}
(3, 2e-05, 8, 0.1, 0.01): {'perdidaEvaluacion': 0.30087751398483914, 'f1Macro': 0.759041394335512, 'f1Micro': 0.7733333333333333, 'promedioPrecision': 0.8010582010582011, 'promedioRecall': 0.7296296296296297, 'metricasClases': {'Violencia': {'f1': 0.5882352941176471, 'precision': 0.7142857142857143, 'recall': 0.5}, 'Homofobia': {'f1': 0.8888888888888888, 'precision': 0.8888888888888888, 'recall': 0.8888888888888888}, 'Xenofobia': {'f1': 0.8, 'precision': 0.8, 'recall': 0.8}}, 'perdidaEntrenamiento': 0.24522428096018054}
(3, 2e-05, 32, 0.3, 0.005): {'perdidaEvaluacion': 0.49603353440761566, 'f1Macro': 0.20875420875420878, 'f1Micro': 0.2978723404255319, 'promedioPrecision': 0.6190476190476191, 'promedioRecall': 0.13333333333333333, 'metricasClases': {'Violencia': {'f1': 0.18181818181818182, 'precision': 1.0, 'recall': 0.1}, 'Homofobia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}, 'Xenofobia': {'f1': 0.4444444444444444, 'precision': 0.8571428571428571, 'recall': 0.3}}, 'perdidaEntrenamiento': 0.4794529757716439}
(3, 2e-05, 32, 0.3, 0.01): {'perdidaEvaluacion': 0.49487245082855225, 'f1Macro': 0.2272727272727273, 'f1Micro': 0.3333333333333333, 'promedioPrecision': 0.625, 'promedioRecall': 0.15, 'metricasClases': {'Violencia': {'f1': 0.18181818181818182, 'precision': 1.0, 'recall': 0.1}, 'Homofobia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}, 'Xenofobia': {'f1': 0.5, 'precision': 0.875, 'recall': 0.35}}, 'perdidaEntrenamiento': 0.4859048900279132}
(3, 2e-05, 8, 0.1, 0.015): {'perdidaEvaluacion': 0.32689906656742096, 'f1Macro': 0.7414087586254013, 'f1Micro': 0.759493670886076, 'promedioPrecision': 0.7433261183261184, 'promedioRecall': 0.7425925925925926, 'metricasClases': {'Violencia': {'f1': 0.5714285714285714, 'precision': 0.5454545454545454, 'recall': 0.6}, 'Homofobia': {'f1': 0.8235294117647058, 'precision': 0.875, 'recall': 0.7777777777777778}, 'Xenofobia': {'f1': 0.8292682926829268, 'precision': 0.8095238095238095, 'recall': 0.85}}, 'perdidaEntrenamiento': 0.2337676833637736}
(3, 2e-05, 8, 0.2, 0.005): {'perdidaEvaluacion': 0.3230229740341504, 'f1Macro': 0.7277777777777777, 'f1Micro': 0.7631578947368421, 'promedioPrecision': 0.7462962962962963, 'promedioRecall': 0.7129629629629629, 'metricasClases': {'Violencia': {'f1': 0.4444444444444444, 'precision': 0.5, 'recall': 0.4}, 'Homofobia': {'f1': 0.8888888888888888, 'precision': 0.8888888888888888, 'recall': 0.8888888888888888}, 'Xenofobia': {'f1': 0.85, 'precision': 0.85, 'recall': 0.85}}, 'perdidaEntrenamiento': 0.23203993097624995}
(3, 2e-05, 8, 0.2, 0.01): {'perdidaEvaluacion': 0.33051645507415134, 'f1Macro': 0.6794871794871794, 'f1Micro': 0.7297297297297297, 'promedioPrecision': 0.7426900584795323, 'promedioRecall': 0.6351851851851852, 'metricasClases': {'Violencia': {'f1': 0.5, 'precision': 0.5, 'recall': 0.5}, 'Homofobia': {'f1': 0.6666666666666666, 'precision': 0.8333333333333334, 'recall': 0.5555555555555556}, 'Xenofobia': {'f1': 0.8717948717948718, 'precision': 0.8947368421052632, 'recall': 0.85}}, 'perdidaEntrenamiento': 0.24429601134563034}
(3, 2e-05, 8, 0.2, 0.015): {'perdidaEvaluacion': 0.3118806431690852, 'f1Macro': 0.782010582010582, 'f1Micro': 0.8, 'promedioPrecision': 0.769023569023569, 'promedioRecall': 0.7962962962962963, 'metricasClases': {'Violencia': {'f1': 0.6, 'precision': 0.6, 'recall': 0.6}, 'Homofobia': {'f1': 0.8888888888888888, 'precision': 0.8888888888888888, 'recall': 0.8888888888888888}, 'Xenofobia': {'f1': 0.8571428571428571, 'precision': 0.8181818181818182, 'recall': 0.9}}, 'perdidaEntrenamiento': 0.24352009018713777}
