(3, 5e-05, 8, 0.15, 0.0075): {'perdidaEvaluacion': 0.036332936491817236, 'f1Macro': 0.9829212633904563, 'f1Micro': 0.9826086956521739, 'promedioPrecision': 0.9819697994140185, 'promedioRecall': 0.9842047930283225, 'metricasClases': {'Violencia': {'f1': 0.9824561403508771, 'precision': 0.9655172413793104, 'recall': 1.0}, 'Homofobia': {'f1': 0.9859154929577465, 'precision': 1.0, 'recall': 0.9722222222222222}, 'Xenofobia': {'f1': 0.9803921568627451, 'precision': 0.9803921568627451, 'recall': 0.9803921568627451}}, 'perdidaEntrenamiento': 0.027183501912555492}
(3, 5e-05, 8, 0.15, 0.015): {'perdidaEvaluacion': 0.051757052491762136, 'f1Macro': 0.9734446304868839, 'f1Micro': 0.9739130434782609, 'promedioPrecision': 0.9778975741239893, 'promedioRecall': 0.9695767195767195, 'metricasClases': {'Violencia': {'f1': 0.9818181818181818, 'precision': 1.0, 'recall': 0.9642857142857143}, 'Homofobia': {'f1': 0.9577464788732394, 'precision': 0.9714285714285714, 'recall': 0.9444444444444444}, 'Xenofobia': {'f1': 0.9807692307692307, 'precision': 0.9622641509433962, 'recall': 1.0}}, 'perdidaEntrenamiento': 0.03025968286090074}
(3, 5e-05, 8, 0.3, 0.0075): {'perdidaEvaluacion': 0.5743653209585893, 'f1Macro': 0.0, 'f1Micro': 0.0, 'promedioPrecision': 0.0, 'promedioRecall': 0.0, 'metricasClases': {'Violencia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}, 'Homofobia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}, 'Xenofobia': {'f1': 0.0, 'precision': 0.0, 'recall': 0.0}}, 'perdidaEntrenamiento': 0.5730061484166825}
(3, 5e-05, 8, 0.3, 0.015): {'perdidaEvaluacion': 0.025342078021678486, 'f1Macro': 0.9860083123039503, 'f1Micro': 0.9868995633187773, 'promedioPrecision': 0.9935897435897436, 'promedioRecall': 0.978835978835979, 'metricasClases': {'Violencia': {'f1': 0.9818181818181818, 'precision': 1.0, 'recall': 0.9642857142857143}, 'Homofobia': {'f1': 0.9859154929577465, 'precision': 1.0, 'recall': 0.9722222222222222}, 'Xenofobia': {'f1': 0.9902912621359223, 'precision': 0.9807692307692307, 'recall': 1.0}}, 'perdidaEntrenamiento': 0.030839552754996367}
(3, 5e-05, 16, 0.15, 0.0075): {'perdidaEvaluacion': 0.05444666985422373, 'f1Macro': 0.96322359296299, 'f1Micro': 0.9652173913043478, 'promedioPrecision': 0.9641909814323607, 'promedioRecall': 0.9630407718643013, 'metricasClases': {'Violencia': {'f1': 0.9473684210526315, 'precision': 0.9310344827586207, 'recall': 0.9642857142857143}, 'Homofobia': {'f1': 0.9714285714285714, 'precision': 1.0, 'recall': 0.9444444444444444}, 'Xenofobia': {'f1': 0.970873786407767, 'precision': 0.9615384615384616, 'recall': 0.9803921568627451}}, 'perdidaEntrenamiento': 0.03287214294550903}
(3, 5e-05, 16, 0.15, 0.015): {'perdidaEvaluacion': 0.05125559754669666, 'f1Macro': 0.9753351826167359, 'f1Micro': 0.9781659388646288, 'promedioPrecision': 0.9816849816849818, 'promedioRecall': 0.9695767195767195, 'metricasClases': {'Violencia': {'f1': 0.9642857142857143, 'precision': 0.9642857142857143, 'recall': 0.9642857142857143}, 'Homofobia': {'f1': 0.9714285714285714, 'precision': 1.0, 'recall': 0.9444444444444444}, 'Xenofobia': {'f1': 0.9902912621359223, 'precision': 0.9807692307692307, 'recall': 1.0}}, 'perdidaEntrenamiento': 0.030088854612285398}
(3, 5e-05, 16, 0.3, 0.0075): {'perdidaEvaluacion': 0.031599736958742144, 'f1Macro': 0.986220965148182, 'f1Micro': 0.987012987012987, 'promedioPrecision': 0.9820954907161804, 'promedioRecall': 0.9907407407407408, 'metricasClases': {'Violencia': {'f1': 0.9824561403508771, 'precision': 0.9655172413793104, 'recall': 1.0}, 'Homofobia': {'f1': 0.9859154929577465, 'precision': 1.0, 'recall': 0.9722222222222222}, 'Xenofobia': {'f1': 0.9902912621359223, 'precision': 0.9807692307692307, 'recall': 1.0}}, 'perdidaEntrenamiento': 0.03387781818475263}
(3, 5e-05, 16, 0.3, 0.015): {'perdidaEvaluacion': 0.06970451762899757, 'f1Macro': 0.9712253569577077, 'f1Micro': 0.9739130434782609, 'promedioPrecision': 0.9704755465404552, 'promedioRecall': 0.9723000311235604, 'metricasClases': {'Violencia': {'f1': 0.9473684210526315, 'precision': 0.9310344827586207, 'recall': 0.9642857142857143}, 'Homofobia': {'f1': 0.9859154929577465, 'precision': 1.0, 'recall': 0.9722222222222222}, 'Xenofobia': {'f1': 0.9803921568627451, 'precision': 0.9803921568627451, 'recall': 0.9803921568627451}}, 'perdidaEntrenamiento': 0.035608359623655855}
(3, 5e-05, 32, 0.15, 0.0075): {'perdidaEvaluacion': 0.05548589900135994, 'f1Macro': 0.9676296816722229, 'f1Micro': 0.9655172413793104, 'promedioPrecision': 0.9585470085470086, 'promedioRecall': 0.9776688453159043, 'metricasClases': {'Violencia': {'f1': 0.9655172413793104, 'precision': 0.9333333333333333, 'recall': 1.0}, 'Homofobia': {'f1': 0.9859154929577465, 'precision': 1.0, 'recall': 0.9722222222222222}, 'Xenofobia': {'f1': 0.9514563106796117, 'precision': 0.9423076923076923, 'recall': 0.9607843137254902}}, 'perdidaEntrenamiento': 0.03772958073144158}
(3, 5e-05, 32, 0.15, 0.015): {'perdidaEvaluacion': 0.05440375618636608, 'f1Macro': 0.9616007272636704, 'f1Micro': 0.9613733905579399, 'promedioPrecision': 0.9493860437256663, 'promedioRecall': 0.9749455337690631, 'metricasClases': {'Violencia': {'f1': 0.9655172413793104, 'precision': 0.9333333333333333, 'recall': 1.0}, 'Homofobia': {'f1': 0.9577464788732394, 'precision': 0.9714285714285714, 'recall': 0.9444444444444444}, 'Xenofobia': {'f1': 0.9615384615384616, 'precision': 0.9433962264150944, 'recall': 0.9803921568627451}}, 'perdidaEntrenamiento': 0.042690096814776694}
(3, 5e-05, 32, 0.3, 0.0075): {'perdidaEvaluacion': 0.057678448408842085, 'f1Macro': 0.9736916645504093, 'f1Micro': 0.9739130434782609, 'promedioPrecision': 0.9752747252747254, 'promedioRecall': 0.9723000311235604, 'metricasClases': {'Violencia': {'f1': 0.9642857142857143, 'precision': 0.9642857142857143, 'recall': 0.9642857142857143}, 'Homofobia': {'f1': 0.9859154929577465, 'precision': 1.0, 'recall': 0.9722222222222222}, 'Xenofobia': {'f1': 0.970873786407767, 'precision': 0.9615384615384616, 'recall': 0.9803921568627451}}, 'perdidaEntrenamiento': 0.04474747006500524}
