ID,Tweet,Violencia,Homofobia,Xenofobia,Incensurable
1200,"A esos chantas les sacaría la cresta, no merecen menos.",1,0,0,0
1201,"Ojalá se te rompa el celular, saco de wea.",1,0,0,0
1202,"Parece que algunos necesitan que les expliquen con peras y manzanas lo que es la decencia, wns básicos.",0,0,0,1
1203,Les hace falta un combo en el hocico a esos pelmazos que no cachan nada.,1,0,0,0
1204,No falta el saco e wea que merecería un coscacho por andar hablando weás.,1,0,0,0
1205,"Mejor no te cruzo, porque te va a costar volver a mirarte en el espejo, saco e wea.",1,0,0,0
1206,Podría llorar de la rabia cada vez que me cruzo con gente tan weona.,1,0,0,0
1207,Ojalá a esos wnes les caiga la maldición del pasillo de la mayonesa.,1,0,0,0
1208,"Ya po basta de hablar weas, si nos pillamos en la calle te arregló los dientes.",1,0,0,0
1209,"Cómo tanto wn desagradable suelto, deberían mandarlos a otro planeta.",1,0,0,0
1210,"Al primero que se cruce conmigo le dejo claro quién manda, vamos a ver si sigue hablando ahora.",1,0,0,0
1211,Lo único que merecen esos flaites es que les tapen el hocico.,1,0,0,0
1212,"Me basta verte para saber que nunca tendrás amigos, saco de weas.",1,0,0,0
1213,"Ojalá te dé diarrea en la micro, saco de wea.",1,0,0,0
1214,"Te paso a llevar si sigues hablando tanta tontera, pastelito.",1,0,0,0
1215,Ojalá que les caiga la teja a esos wnes antes de que sigan cagándola.,1,0,0,0
1216,"Hay gente que merece que los desenchufen de la Matrix de una patada, más flojos que inspector de nubes.",1,0,0,0
1217,"Cuando te pille te pongo la mocha, sácate esos aires de bacán.",1,0,0,0
1218,No faltan los aweonaos que deberían encerrarlos por tarados.,1,0,0,0
1219,A esos flaites de la esquina los mando directo a la chucha.,1,0,0,0
1220,Algún día la vida les va a pasar la cuenta por ser tan imbéciles.,1,0,0,0
1221,"Te aseguro que por gente como tú el mundo está como está, desafortunado ql.",1,0,0,0
1222,"Anda a acostarte, saco de wea. Tus opiniones dan pena.",1,0,0,0
1223,"No soporto a esos weones que hablan sin pensar, deberían quedarse callados un rato y hacerle un favor al mundo.",1,0,0,0
1224,"Revísate la cabeza antes de opinar, ojalá se te pegue el sentido común, sacowea.",1,0,0,0
1225,"Ando chato de los pollos que hablan sin saber, mejor ocúpense de sus vidas antes de tirar caca.",1,0,0,0
1226,"La próxima vez que me cruce con un wn que hable tonteras como esas, le pongo un combo en el hocico sin pensarlo dos veces.",1,0,0,0
1227,"Cualquiera que se atreva a faltar el respeto va a saber lo que es bueno. Acá no se perdonan ni una falta, pa que sepan.",1,0,0,0
1228,"Al próximo que me mire feo le voy a dar su merecido, puro bla bla en las redes, pero care’ palo no aguantan ni una.",1,0,0,0
1229,Hoy me levanté con ganas de mandar a todos los que me caen mal derechito a la chucha.,1,0,0,0
1230,"No falta el saco de wea que se cree bacán por ser flojo, ¡avispate ridículo!",0,0,0,1
1231,"No me vengas con cuentos porque soy capaz de mandarte a volar de un combo, palabrero sin brillo.",1,0,0,0
1232,Mira que hay que ser wn para no cachar esta cuestión. Me llegan a dar calambres de lo chato que me tienen.,1,0,0,0
1233,"La próxima vez que hables sin saber, que te llegue un combo por boca de pato que tenís.",1,0,0,0
1234,"Cómo tan imbécil de pensar que eso está bien. Merecís un diploma en estupidez máxima, compadre.",1,0,0,0
1235,"Anda a decirle eso a tu mamá, a ver si te atreves, personaje de cartón.",0,0,0,1
1236,"Cuidado con lo que dices, porque si te cachan en la calle, te vas derechito al suelo, saco de wea.",1,0,0,0
1237,"Al próximo que me venga con cuentos, le dejo clarito que no ando pa' huevadas. Aquí se habla claro o se vuela fuerte.",1,0,0,0
1238,"No sé qué clase de sopaipillas has probado tú, pero si le echas ketchup eres de lo peor, loco.",0,0,0,1
1239,"Compadre, sigue hablando y te dejo sin dientes. No me busques, no más.",1,0,0,0
1240,"Anda a llorar a la FIFA, saco wea. No tenís remedio.",1,0,0,0
1241,"A la primera que me mirís feo, te vo'a dejar tirado en el suelo. No te hagái el choro conmigo.",1,0,0,0
1242,"No me hagas venir a buscarte, saco wea, por que ahí sí que no la contai. Pura cháchara nomás.",1,0,0,0
1243,"Eres terrible penca, ni pa los mandados sirves, mejor quédate en tu casa y no salgai más.",1,0,0,0
1244,"Te juro que si tengo que verte de nuevo te dejo tire'ado en el suelo, saco de weas.",1,0,0,0
1245,"Ojalá te pille la lluvia sin paraguas, saco de hueas.",1,0,0,0
1246,"Anda a llorar a otra parte, saco wea. No sabes con quién te metiste.",1,0,0,0
1247,"No te hagai el bacán porque andai puro dando pena, saco e wea.",1,0,0,0
1248,"Te caché robándote mis ideas, anda a buscar personalidad y deja de dar pena, saco e' huea.",1,0,0,0
1249,"Cállate un rato, ni tu sombra te aguanta, saco de wea.",1,0,0,0
1250,"No sé por qué pierden el tiempo en marchas, mejor que se pongan a trabajar.",0,1,0,0
1251,"Mira al loser ese, no aguantaría ni un solo día en el barrio donde crecí.",1,0,0,0
1252,"En mi casa se respetan las tradiciones, no quiero ver mariconadas bajo mi techo.",0,1,0,0
1253,"Pensé que lo había visto todo hasta que vi a un hombre caminando con cartera. Mundo al revés, wn.",0,1,0,0
1254,"Ojalá dejen de querer igualdad de derechos, si siempre han sido diferentes.",0,1,0,0
1255,"Me carga verte todo maquillado, a ver si te pones serio de una vez en vez de andar jugando a ser princesa.",0,1,0,0
1256,"Para qué quieren tanto feminismo, si al final solo saben cocinar y planchar.",0,1,0,0
1257,"Estos cabros locos creen que pueden hacer cualquier cosa, pero nunca van a entender la verdadera masculinidad.",0,1,0,0
1258,"En mi casa solo se habla el idioma de ser hombre de verdad, niñitas con falda afuera.",0,1,0,0
1259,Qué chistoso que algunos todavía crean que la mariconería es una fase. Algunos nacen nomás pa' hacer show.,0,1,0,0
1260,Ojalá todos esos maricones dejen de andar exhibiéndose como si fueran normales.,0,1,0,0
1261,Deberían prohibir que los fletos anden de la mano en la calle. No es un ejemplo para los niños.,0,1,0,0
1262,"No sé qué es más triste, si los hombres que lloran o los que no saben manejar un auto.",0,1,0,0
