ID,Tweet,Tweet_Padre,Violencia,Homofobia,Xenofobia,Incensurable,ID_Tweet_Padre
1,@TomasVodanovic  tiene convertido Maipú en un basural lleno de lacra caribeña,"Policial Homicidio se registró la tarde de este martes en Lumen y 3 Norte en la comuna de Maipú, un sujeto que se encontraba en su bicicleta fue baleado por sujetos, la víctima tenía varios impactos de bala y falleció un Cesfam cercano  @biobio   @Louisvasquez23",0,0,1,0,X
2,Adivinemos..... venekia!," Esta noche en  #ReportajesT13 : Fiestas, máquinas tragamonedas y comercio sexual. Tras reclamos de vecinos en Estación Central, un operativo dejó al descubierto el funcionamiento de un casino clandestino. Lo más preocupante: pudimos constatar la presencia de niños en el lugar",0,0,1,0,X
3,Y por q mejor no expulsan luego a los inmigrantes ilegales q entran con su mierda..???, Nacidos entre 1971 y 1981 deben vacunarse contra sarampión.  EN VIVO  #T13Central  »  http://,0,0,1,0,X
4,Balazos y se acaba esta mierda!, Usan quebradas para esconderse y vigilar casas.  EN VIVO  #T13Central  »  http://,1,0,0,0,X
5,Hay que poner guardias armados y eliminar esas basuras,Pero que los confundan con conejos...,1,0,0,0,X
6,"Váyanse mierda humana! Nadie los soporta, cochinos culiaooooooooooos!!!  #kenita   #ColoColo   #Venecos   #chvnoticias   #limache","Mientras la  @Armada_Chile  cante a voz en cuello, desfile hidalgamente por las calles de Chile y su gente aplauda, y ondee orgullosamente el pabellón patrio…nada hay que temer!!",0,0,1,0,X
7,Like si quieres que los  venecos  se devuelvan a su país.,SinTweetPadre,0,0,1,0,
8,Los  venecos  son muy mongólicos,SinTweetPadre,0,0,1,0,
9,"Este billete, el de mayor denominación, debe cambiar por una imagen que represente a la chilenidad, no más  venecos .",SinTweetPadre,0,0,1,0,
10,No queremos más  venecos  en Chile,SinTweetPadre,0,0,1,0,
11,"Los  venecos  son nefastos, los chilenos y los peruanos nos avisaron que son la peor inmigracion del planeta.",SinTweetPadre,0,0,1,0,
12,Hay que pitearse a estas ratas," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",1,0,0,0,X
13,Q le pasa al Gob d discursitos q hablan defender y proteger al PUEBLO CHILENO  Desde el día uno permisivo 100% con la Derecha  Cuál burla exponen sus delitos pero ni UNO va a la cárcel   Y estos DELINCUENTES importados VOTARAN x DESTRUIR nuestra PATRIA  NUESTRO CHILE NO Venezuela," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,1,0,X
14,Ahí debieran estar los camiones de militares ! Y sacarlos a la frontera ya !!," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",1,0,0,0,X
15,Weon ese parque siempre ha sido un nido de plagas incluyendo venezolanos peruanos colombianos chilenos todooooooos. El lugar a metros de la moneda….. de quien es la culpa ? Quien permite esta mierda ??? Todos sabían que esto sucedía desde hace añoooos.," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,1,0,X
16,Avisen a la derecha chilena para que se haga cargo de las lacras que importo," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,1,0,X
17,Y ni un solo paco.... aaaah pero anda a pararte con un letrero que diga no más afp te hacen cagar y te sacan los ojos," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",1,0,0,0,X
18,"Hay que   pero hay puros huecos en Chile, "," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",1,0,1,0,X
19,@PDI_CHILE   @Carabdechile   @GabrielBoric   @MigracionesCL   @evelynmatthei   @PoderJudicialcl  Hagan su trabajo y expulsen de una vez a todos los caribeños. Por culpa de ustedes el país se esta destruyendo. Inútiles y traidores a Chile.," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,1,0,X
20,Wn como alguien no les pone una bomba y así acaban de una con todos esos simios de mierda asquerosos y donde están los guanacos en ese video?," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",1,0,1,0,X
21,Wooo!! no había cacha'o .. veneco culiao cínico!!,Si alguien reconoce su celular ubicar al veneco Javier Ramirez en estación central. Vayan con carabineros durante la noche y encontraran a 6 de estos tipos durmiendo en una pieza asi podran recuperar varios teléfonos de una  #venecos   #TodosSomosCooper   #venezolanos   #Temblor,0,0,1,0,X
22,Los monos feos,Si alguien reconoce su celular ubicar al veneco Javier Ramirez en estación central. Vayan con carabineros durante la noche y encontraran a 6 de estos tipos durmiendo en una pieza asi podran recuperar varios teléfonos de una  #venecos   #TodosSomosCooper   #venezolanos   #Temblor,0,0,1,0,X
23,Que desagradables estos simios qliaos.,SinTweetPadre,0,0,1,0,
24,Hay que ser chancho para que te guste una monozolana,SinTweetPadre,0,0,1,0,
25,"Las venecas son ediondas, con el frío dicen que le da pereza bañarse y andan pasadas a fritura y axila. Vengan de varios gochos qls  Aquí no hay cobardes sin patria",SinTweetPadre,0,0,1,0,
26,Hay que ser muy asqueroso para que te guste una venezolana ,SinTweetPadre,0,0,1,0,
27,"Parásitos, lacras, pandemia veneca, si no se van los tendremos que echar, y falta poco para eso.",SinTweetPadre,0,0,1,0,
28,"Malditos monozolanos delincuentes váyanse de Chile, no les digo a su país porque no tienen",SinTweetPadre,0,0,1,0,
29,"Lo de los  Venecos  es digno de estudio xdd que plaga de ratas que son, siempre engreídos y super mal agradecidos con cualquier país que les de alojo. Y los chilenos se cansaron de avisarnos.. x.com/Csofianunes/st…",SinTweetPadre,0,0,1,0,
30,"Vivir en venequia y tener que soportar a los  venecos  es desgastante, te hacen odiar al mundo y a la humanidad... No puede ser que yo sea tan amargado y  odie a todo el mundo porque yo no soy así... es la gente que es insoportablemente mmgva.",SinTweetPadre,0,0,1,0,
31,"El TOSTADOR  es Chileno   CTM fue creado para tostar el pan y churrasca  ,  Venecos  qls investence algo po weón para sus cagás de Arepas , como no van a ser tan inteligentes como para crear algo ?? Váyanse a la xuxa . Recuerden compatriotas no comprar más ilko.",SinTweetPadre,0,0,1,0,
32,"Yo anduve en Brasil y lo que más me gustó es que no hay  venecos  ni masisi, al menos la a gran escala como aquí",SinTweetPadre,0,0,1,0,
33,los  venecos  son las personas más desagradecidas y no se cansan de demostrarlo diariamente,SinTweetPadre,0,0,1,0,
34,Veneco pelotudo chupándole la verga a un facho!," ESTO ES IMPRESIONANTE.  La extrema derecha con una mano siembra la xenofobia y con la otra cultiva el millón de votos venecos, votos a los que NO VAN A RENUNCIAR.  Al chileno medio se le viene el picx en el ojo más grande de la historia. Y merecido se lo tiene.",0,0,1,0,X
35,Esas son las  que no queremos en chile .," ESTO ES IMPRESIONANTE.  La extrema derecha con una mano siembra la xenofobia y con la otra cultiva el millón de votos venecos, votos a los que NO VAN A RENUNCIAR.  Al chileno medio se le viene el picx en el ojo más grande de la historia. Y merecido se lo tiene.",0,0,1,0,X
36,Veneco = ," ESTO ES IMPRESIONANTE.  La extrema derecha con una mano siembra la xenofobia y con la otra cultiva el millón de votos venecos, votos a los que NO VAN A RENUNCIAR.  Al chileno medio se le viene el picx en el ojo más grande de la historia. Y merecido se lo tiene.",0,0,1,0,X
37,"Venecos qliaos, desde que volvimos a la democracia se ha elegido por votación popular qliaos ignorantes, se creen lo que la derecha les vende.Los usan simios qliaos, los usan"," ESTO ES IMPRESIONANTE.  La extrema derecha con una mano siembra la xenofobia y con la otra cultiva el millón de votos venecos, votos a los que NO VAN A RENUNCIAR.  Al chileno medio se le viene el picx en el ojo más grande de la historia. Y merecido se lo tiene.",0,0,1,0,X
38,Terminará saliendo Kast o Kaiser por culpa de estos negros de mierda. Pero pasará lo mismo que con Trump. Los echara cagando a todos.," ESTO ES IMPRESIONANTE.  La extrema derecha con una mano siembra la xenofobia y con la otra cultiva el millón de votos venecos, votos a los que NO VAN A RENUNCIAR.  Al chileno medio se le viene el picx en el ojo más grande de la historia. Y merecido se lo tiene.",0,0,1,0,X
39,"Anda a pedir politicos a tu caga de pais, migrar no es un delito pero invadir SI  VENECOS  CULIAOS , VAYAN A EXIGIR A SU MIERDA DE PAIS, ESTOS MONOS CULIAOS NO ENTIENDEN Q NADIE EN EL MUNDO LOS QUIERE, MUERANSE DE UNA VEZ POR TODA",SinTweetPadre,0,0,1,0,
40,¿Está tu barrio entre los afectados?: Anuncian cortes de luz en sectores de 7 comunas de la Región Metropolitana para este jueves  https:// 5-cortes-de-luz-las-condes-las-florida-macul-siete-comunas-region-metropolitana-jueves-brk-22-05-2025.html …,SinTweetPadre,0,0,0,1,
41,"Váyanse mierda humana! Nadie los soporta, cochinos culiaooooooooooos!!!  #kenita   #ColoColo   #Venecos    #chvnoticias   #limache",SinTweetPadre,0,0,1,0,
42,Los votantes de Matthei y Desbordes. El futuro que se viene para Chile ," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
43,"Y seguro con derecho a voto o prontos a votar los ""angelitos""    @Claudia_Mix   @diputadobecker   @CatalinaPerezS   @camila_musante   @RUBENOYARZOF   @AstudilloDanisa   @DiputadoBerger   @Fernandoborquez   @jmfuenzalida   @cosme_mellado   @JoseMezaPereira   @joannaperezolea   @matiasramirezpa  @AbogadaTe"," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
44,Y carabineros muy ocupados en el desfile y sus ensayos. Las prioridades por el hoyo...," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
45,Gracias a él chamo desbordes santiago es de los venezolanos," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
46,Son los protegidos de desbordes," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
47,Q pena," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
48,"Los mismos Santiaguinos eligieron, así que disfruten lo votado."," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
49,: Jefes dirigiendo sus críminales desde Venezuela; según investigación y reportaje de TV Chilena. Pd: Ministerio de seguridad; brilla x su ausencia.," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
50,Nunca caminaste el centro... como que parque almagro a 3 cuadras de la moneda.. hasta para mentir no saben los fachitos," venecos del tren de Aragua se adueñaron del parque Almagro venden droga ,asaltan,secuestran personas inclusive han asesinado chilenos. todo a 4 cuadras de la Moneda después de las 7 pm se adueñan de todo el parque..avísenle al ministerio de seguridad!  @GabrielBoric   @Muni_Stgo",0,0,0,1,X
